Cyprus,Κύπρος,EU,Nicosia,EUR,357,"[Greek,Turkish,Armenian]","[Ελληνικά,Türkçe,Հայերեն]"
Indonesia,Indonesia,AS,Jakarta,IDR,62,[Indonesian],[Bahasa Indonesia]
North Korea,북한,AS,Pyongyang,KPW,850,[Korean],[한국어]
Peru,Perú,SA,Lima,PEN,51,[Spanish],[Español]
Taiwan,臺灣,AS,Taipei,TWD,886,[Chinese],[中文]
Iraq,العراق,AS,Baghdad,IQD,964,"[Arabic,Kurdish]","[العربية,Kurdî / كوردی]"
Italy,Italia,EU,Rome,EUR,39,[Italian],[Italiano]
Liberia,Liberia,AF,Monrovia,LRD,231,[English],[English]
Namibia,Namibia,AF,Windhoek,"NAD,ZAR",264,"[English,Afrikaans]","[English,Afrikaans]"
Solomon Islands,Solomon Islands,OC,Honiara,SBD,677,[English],[English]
Finland,Suomi,EU,Helsinki,EUR,358,"[Finnish,Swedish]","[Suomi,Svenska]"
Norway,Norge,EU,Oslo,NOK,47,"[Norwegian,Norwegian Bokmål,Norwegian Nynorsk]","[Norsk,Norsk bokmål,Norsk nynorsk]"
Andorra,Andorra,EU,Andorra la Vella,EUR,376,[Catalan],[Català]
Barbados,Barbados,NA,Bridgetown,BBD,1246,[English],[English]
Oman,عمان,AS,Muscat,OMR,968,[Arabic],[العربية]
Niue,Niuē,OC,Alofi,NZD,683,[English],[English]
Gambia,Gambia,AF,Banjul,GMD,220,[English],[English]
South Sudan,South Sudan,AF,Juba,SSP,211,[English],[English]
Madagascar,Madagasikara,AF,Antananarivo,MGA,261,"[French,Malagasy]","[Français,Malagasy]"
Japan,日本,AS,Tokyo,JPY,81,[Japanese],[日本語]
Northern Mariana Islands,Northern Mariana Islands,OC,Saipan,USD,1670,"[English,Chamorro]","[English,Chamoru]"
Argentina,Argentina,SA,Buenos Aires,ARS,54,"[Spanish,Guarani]","[Español,Avañe'ẽ]"
Uzbekistan,O‘zbekiston,AS,Tashkent,UZS,998,"[Uzbek,Russian]","[Ўзбек,Русский]"
Azerbaijan,Azərbaycan,AS,Baku,AZN,994,[Azerbaijani],[Azərbaycanca / آذربايجان]
Aruba,Aruba,NA,Oranjestad,AWG,297,"[Dutch,Panjabi / Punjabi]","[Nederlands,ਪੰਜਾਬੀ / पंजाबी / پنجابي]"
Lithuania,Lietuva,EU,Vilnius,EUR,370,[Lithuanian],[Lietuvių]
Russia,Россия,EU,Moscow,RUB,7,[Russian],[Русский]
New Zealand,New Zealand,OC,Wellington,NZD,64,"[English,Maori]","[English,Māori]"
Palestine,فلسطين,AS,Ramallah,ILS,970,[Arabic],[العربية]
Uruguay,Uruguay,SA,Montevideo,"UYI,UYU",598,[Spanish],[Español]
Bolivia,Bolivia,SA,Sucre,"BOB,BOV",591,"[Spanish,Aymara,Quechua]","[Español,Aymar,Runa Simi]"
Malawi,Malawi,AF,Lilongwe,MWK,265,"[English,Chichewa]","[English,Chi-Chewa]"
Germany,Deutschland,EU,Berlin,EUR,49,[German],[Deutsch]
Hong Kong,香港,AS,City of Victoria,HKD,852,"[Chinese,English]","[中文,English]"
New Caledonia,Nouvelle-Calédonie,OC,Nouméa,XPF,687,[French],[Français]
Somalia,Soomaaliya,AF,Mogadishu,SOS,252,"[Somalia,Arabic]","[Soomaaliga,العربية]"
Cuba,Cuba,NA,Havana,"CUC,CUP",53,[Spanish],[Español]
Malaysia,Malaysia,AS,Kuala Lumpur,MYR,60,[Malay],[Bahasa Melayu]
Bhutan,ʼbrug-yul,AS,Thimphu,"BTN,INR",975,[Dzongkha],[ཇོང་ཁ]
